travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,83,Opus Residences Merdeka Tower KL,"Mid Valley, Kuala Lumpur",MYR 236,2 km from centre,One-Bedroom Suite with Merdeka Tower View
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.9,Fabulous,14,Chambers Serviced Suites Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 173,2 km from centre,Superior Studio
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.5,Good,82,Astar Hotel Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 79,1 km from centre,Standard Queen Room
Travel Sustainable Level 3,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.0,Good,"2,098",Royce Hotel @ KL Sentral,"Brickfields, Kuala Lumpur",MYR 88,2.8 km from centre,Superior King
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.9,Good,"3,096",Expressionz Suites By iHost Global,Kuala Lumpur,MYR 192,2 km from centre,Deluxe King Suite with Garden View
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,24,Star At KLCC by FZB,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 458,0.9 km from centre,Superior Suite
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.5,Very good,115,Platinum Service Suite KLCC By Citybox,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 314,0.7 km from centre,Deluxe King Studio
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.6,Fabulous,906,Platinum KLCC By CityBox,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 266,0.7 km from centre,Deluxe Suite
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,7.9,Good,47,The Platinum KLCC By Sky Pool,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 518,0.7 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,9.5,Exceptional,6,The Platinum KLCC by cozy white,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 284,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,"2,889",Bukit Bintang Suite at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 257,1.4 km from centre,Studio Suite
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,6.5,Review score,28,Excellent Serviced Suite Kl,"Bukit Bintang, Kuala Lumpur",MYR 587,1.4 km from centre,Deluxe King Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,9.0,Superb,126,Suites at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 323,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.2,Superb,26,ASTRA @ 8 Kia Peng Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 404,1 km from centre,Deluxe Apartment
N/A,N/A,2 out of 5,N/A,N/A,N/A,N/A,N/A,Capital O 90788 New Hotel 33 Permaisuri,Kuala Lumpur,MYR 93,5.8 km from centre,Deluxe Double Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.9,Fabulous,824,Ascott Star KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 405,0.9 km from centre,Studio Executive
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,"1,522",Queens Service Suites at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 174,1.3 km from centre,Premier Studio Suite
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.1,Good,224,ORKID Hills at Pudu,"Bukit Bintang, Kuala Lumpur",MYR 97,1.8 km from centre,Standard Double Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,30,Tropicana The Residence KLCC Serviced Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 359,0.5 km from centre,Family Suite
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.2,Very good,573,Times Square Service Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 185,1.3 km from centre,Studio Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.4,Very good,352,Summer Suites KLCC by Luna,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 168,0.6 km from centre,Deluxe One-Bedroom Suite
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.6,Fabulous,"2,741",JW Marriott Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 405,0.9 km from centre,Superior Twin Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,N/A,8.3,Very good,13,KL Summer Suite Apartment @ Mercu Summer Suite KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 187,0.6 km from centre,Superior Apartment
